"measurement_datetime","gps_error_meter","accel_y_longitudinal","accel_z_vertical","oid","longitude","car_name","latitude","measurement_ms","measurement_data_id","accel_x_transverse"
"2015/12/18 08:39:34","25","0.638","9.67","4354929","139.891655","patrol02","37.500366","1450395576321","20151218_083934","0.177"
"2015/12/18 08:39:34","25","0.571","9.757","4354930","139.891655","patrol02","37.500365","1450395576422","20151218_083934","0.201"
"2015/12/18 08:39:34","25","0.648","9.724","4354931","139.891655","patrol02","37.500365","1450395576518","20151218_083934","0.258"
"2015/12/18 08:39:34","25","0.646","9.725","4354932","139.891655","patrol02","37.500365","1450395576618","20151218_083934","0.393"
"2015/12/18 08:39:34","25","0.652","9.702","4354933","139.891655","patrol02","37.500364","1450395576719","20151218_083934","0.35"
"2015/12/18 08:39:34","25","0.634","9.644","4354934","139.891655","patrol02","37.500364","1450395576820","20151218_083934","0.183"
"2015/12/18 08:39:34","25","0.629","9.627","4354935","139.891655","patrol02","37.500364","1450395576921","20151218_083934","0.094"
"2015/12/18 08:39:34","25","0.647","9.651","4354936","139.891655","patrol02","37.500363","1450395577021","20151218_083934","0.138"
"2015/12/18 08:39:34","25","0.632","9.709","4354937","139.891655","patrol02","37.500363","1450395577122","20151218_083934","0.213"
"2015/12/18 08:39:34","20","0.645","9.748","4354938","139.891656","patrol02","37.500363","1450395577218","20151218_083934","0.182"
"2015/12/18 08:39:34","20","0.636","9.709","4354939","139.891658","patrol02","37.500363","1450395577318","20151218_083934","0.092"
"2015/12/18 08:39:34","20","0.709","9.668","4354940","139.89166","patrol02","37.500362","1450395577419","20151218_083934","0.047"
"2015/12/18 08:39:34","20","0.693","9.653","4354941","139.891662","patrol02","37.500362","1450395577520","20151218_083934","0.073"
"2015/12/18 08:39:34","20","0.6","9.641","4354942","139.891664","patrol02","37.500362","1450395577621","20151218_083934","0.118"
"2015/12/18 08:39:34","20","0.612","9.613","4354943","139.891666","patrol02","37.500362","1450395577721","20151218_083934","0.192"
"2015/12/18 08:39:34","20","0.592","9.605","4354944","139.891668","patrol02","37.500362","1450395577822","20151218_083934","0.343"
"2015/12/18 08:39:34","20","0.508","9.616","4354945","139.89167","patrol02","37.500361","1450395577922","20151218_083934","0.356"
"2015/12/18 08:39:34","20","0.423","9.619","4354946","139.891672","patrol02","37.500361","1450395578018","20151218_083934","0.273"
"2015/12/18 08:39:34","20","0.287","9.722","4354947","139.891674","patrol02","37.500361","1450395578119","20151218_083934","0.331"
"2015/12/18 08:39:34","16","0.171","9.788","4354948","139.891674","patrol02","37.500361","1450395578219","20151218_083934","0.373"
"2015/12/18 08:39:34","16","0.239","9.712","4354949","139.891674","patrol02","37.500362","1450395578320","20151218_083934","0.397"
"2015/12/18 08:39:34","16","0.178","9.71","4354950","139.891675","patrol02","37.500362","1450395578421","20151218_083934","0.539"
"2015/12/18 08:39:34","16","0.226","9.728","4354951","139.891675","patrol02","37.500363","1450395578521","20151218_083934","0.577"
"2015/12/18 08:39:34","16","0.274","9.699","4354952","139.891675","patrol02","37.500363","1450395578622","20151218_083934","0.546"
"2015/12/18 08:39:34","16","0.234","9.631","4354953","139.891675","patrol02","37.500364","1450395578718","20151218_083934","0.453"
"2015/12/18 08:39:34","16","0.19","9.624","4354954","139.891675","patrol02","37.500364","1450395578819","20151218_083934","0.445"
"2015/12/18 08:39:34","16","0.189","9.652","4354955","139.891676","patrol02","37.500365","1450395578919","20151218_083934","0.45"
"2015/12/18 08:39:34","16","0.245","9.726","4354956","139.891676","patrol02","37.500365","1450395579020","20151218_083934","0.407"
"2015/12/18 08:39:34","16","0.218","9.861","4354957","139.891676","patrol02","37.500366","1450395579121","20151218_083934","0.495"
